doi,title,relevant,tags
"10.1002/bies.202300010","Disruption of regulatory domains and novel transcripts as disease-causing mechanisms","no",[]
"10.1016/j.ceb.2024.102398","The relationship between nucleosome positioning and higher-order genome folding","no",[]
"10.3390/cells11244011","Chondrocyte De-Differentiation: Biophysical Cues to Nuclear Alterations","no",[]
"10.1016/j.cmet.2016.11.016","Human Pancreatic β Cell lncRNAs Control Cell-Specific Regulatory Networks","no",[]
"10.1002/jnr.24747","An epilepsy-associated ACTL6B variant captures neuronal hyperexcitability in a human induced pluripotent stem cell model","no",[]
"10.1371/journal.pgen.1010654","The anatomy of transcriptionally active chromatin loops in <i>Drosophila</i> primary spermatocytes using super-resolution microscopy","no",[]
"10.1084/jem.20230985","Locus folding mechanisms determine modes of antigen receptor gene assembly","no",[]
"10.1371/journal.pgen.1011277","Transcription decouples estrogen-dependent changes in enhancer-promoter contact frequencies and spatial proximity","no",[]
"10.1002/wdev.265","Topologically associated domains: a successful scaffold for the evolution of gene regulation in animals","no",[]
"10.1093/bfgp/elae014","Genome structural dynamics: insights from Gaussian network analysis of Hi-C data","no",[]
"10.1038/nrg.2017.57","The interplay of epigenetic marks during stem cell differentiation and development","no",[]
"10.1073/pnas.1317036111","Nuclear compartmentalization of odorant receptor genes","no",[]
"10.1016/j.tcb.2004.05.009","Building the centromere: from foundation proteins to 3D organization","no",[]
"10.1016/j.celrep.2022.111839","Principles of 3D chromosome folding and evolutionary genome reshuffling in mammals","no",[]
"10.3390/cells10040753","Regulation of Transcription Factor NF-κB in Its Natural Habitat: The Nucleus","no",[]
"10.3390/ijms18081726","Super-Resolution Localization Microscopy of γ-H2AX and Heterochromatin after Folate Deficiency","no",[]
"10.1038/ncomms7381","3D hotspots of recurrent retroviral insertions reveal long-range interactions with cancer genes","no",[]
"10.1016/j.arcmed.2022.11.010","Interplay Between the Histone Variant H2A.Z and the Epigenome in Pancreatic Cancer","no",[]
"10.1242/dev.137729","Developing in 3D: the role of CTCF in cell differentiation","no",[]
"10.1186/1471-213X-12-30","3D-FISH analysis of embryonic nuclei in mouse highlights several abrupt changes of nuclear organization during preimplantation development","no",[]
"10.1101/sqb.2016.81.031013","Alterations in Three-Dimensional Organization of the Cancer Genome and Epigenome","no",[]
"10.1021/acs.macromol.3c01182","Topological Constraints and Finite-Size Effects in Quantitative Polymer Models of Chromatin Organization","no",[]
"10.1007/s00412-024-00826-w","Multifaceted role of CTCF in X-chromosome inactivation","no",[]
"","Automated 3D Gene Position Analysis Using a Customized Imaris Plugin: XTFISHInsideNucleus","no",[]
"10.1002/1873-3468.14771","Choreography of lamina-associated domains: structure meets dynamics","no",[]
"","Three-Dimensional Immunofluorescence In Situ Hybridization in Preimplantation Mouse Embryos","no",[]
"10.1016/j.bpj.2017.04.018","Direct Observation of Cell-Cycle-Dependent Interactions between CTCF and Chromatin","no",[]
"10.3389/fcell.2022.1068347","Nuclear envelope, chromatin organizers, histones, and DNA: The many achilles heels exploited across cancers","no",[]
"10.1016/j.it.2019.11.006","From Loops to Looks: Transcription Factors and Chromatin Organization Shaping Terminal B Cell Differentiation","no",[]
"","Mapping of Chromosome Territories by 3D-Chromosome Painting During Early Mouse Development","no",[]
"10.3390/biology10040272","At the Crossroad of Gene Regulation and Genome Organization: Potential Roles for ATP-Dependent Chromatin Remodelers in the Regulation of CTCF-Mediated 3D Architecture","no",[]
"","Chromatin Beacons: Global Sampling of Chromatin Physical Properties Using Chromatin Charting Lines","no",[]
"10.1038/s41467-022-30296-6","3D chromatin remodelling in the germ line modulates genome evolutionary plasticity","no",[]
"10.1038/s41467-020-20605-2","Age-related and disease locus-specific mechanisms contribute to early remodelling of chromatin structure in Huntington's disease mice","no",[]
"10.1038/s41594-019-0189-y","Attenuated chromatin compartmentalization in meiosis and its maturation in sperm development","no",[]
"10.1038/s41556-024-01512-w","Fasting shapes chromatin architecture through an mTOR/RNA Pol I axis","no",[]
"10.1371/journal.pone.0295971","Annotation of nuclear lncRNAs based on chromatin interactions","no",[]
"10.1093/nar/gkac702","Painters in chromatin: a unified quantitative framework to systematically characterize epigenome regulation and memory","no",[]
"10.1007/s10815-018-1342-y","Altered three-dimensional organization of sperm genome in <i>DPY19L2</i>-deficient globozoospermic patients","no",[]
"10.1134/S1068162019060062","Design and Visualization of DNA/RNA Nanostructures from Branched Oligonucleotides Using Blender Software","no",[]
"10.6061/clinics/2013(Sup01)18","Biotechnological approaches to the treatment of aspermatogenic men","no",[]
"10.1364/BOE.481169","Influence of Yokukansan on the refractive index of neuroblastoma cells","no",[]
"10.1364/BOE.6.002181","Electrically tunable lens speeds up 3D orbital tracking","no",[]
"10.1167/iovs.64.12.27","Regulation of Axon Guidance by Slit2 and Netrin-1 Signaling in the Lacrimal Gland of Aqp5 Knockout Mice","no",[]
"10.1016/j.jcp.2020.113605","22β-hydroxytingenone induces apoptosis and suppresses invasiveness of melanoma cells by inhibiting MMP-9 activity and MAPK signaling","no",[]
"10.1093/nar/gkp065","The human GINS complex associates with Cdc45 and MCM and is essential for DNA replication","no",[]
"10.1038/s41467-024-45132-2","The IL6/JAK/STAT3 signaling axis is a therapeutic vulnerability in SMARCB1-deficient bladder cancer","no",[]
"10.1103/PhysRevX.9.031007","Limits of Chromosome Compaction by Loop-Extruding Motors","no",[]
"10.1093/nar/gkad1183","Enhancer-promoter interactions can form independently of genomic distance and be functional across TAD boundaries","no",[]
"10.1038/s41564-022-01127-7","Chromosome organization affects genome evolution in <i>Sulfolobus</i> archaea","no",[]
"10.1016/j.devcel.2008.11.011","Chromosomal Dynamics at the <i>Shh</i> Locus: Limb Bud-Specific Differential Regulation of Competence and Active Transcription","no",[]
"10.4049/jimmunol.1901356","Genome Topology Control of Antigen Receptor Gene Assembly","no",[]
"10.1016/j.neuron.2017.04.022","The Dynamic Epigenetic Landscape of the Retina During Development, Reprogramming, and Tumorigenesis","no",[]
"10.1016/j.ymeth.2017.04.004","Hi-C 2.0: An optimized Hi-C procedure for high-resolution genome-wide mapping of chromosome conformation","no",[]
"10.1038/s41588-019-0561-1","On the existence and functionality of topologically associating domains","no",[]
"10.1038/s41467-024-47739-x","TAD boundary deletion causes <i>PITX2</i>-related cardiac electrical and structural defects","no",[]
"10.26508/lsa.202201536","<i>Drosophila</i> insulator proteins exhibit in vivo liquid-liquid phase separation properties","no",[]
"10.1371/journal.pone.0233191","Integration of high-throughput reporter assays identify a critical enhancer of the <i>Ikzf1</i> gene","no",[]
"10.1002/jemt.24374","Morphology of migrating telocytes and their potential role in stem cell differentiation during cartilage development in catfish (<i>Clarias gariepinus</i>)","no",[]
"10.1126/sciadv.ado1662","Clusters of lineage-specific genes are anchored by ZNF274 in repressive perinucleolar compartments","no",[]
"10.3791/4251","Two- and Three-Dimensional Live Cell Imaging of DNA Damage Response Proteins","no",[]
"10.1007/s11103-015-0364-4","Defining multiple, distinct, and shared spatiotemporal patterns of DNA replication and endoreduplication from 3D image analysis of developing maize (<i>Zea mays</i> L.) root tip nuclei","no",[]
"10.1038/s41467-018-03614-0","A TAD boundary is preserved upon deletion of the CTCF-rich <i>Firre</i> locus","no",[]
"10.1080/19491034.2016.1276145","The connection between BRG1, CTCF and topoisomerases at TAD boundaries","no",[]
"10.1038/s41467-019-10725-9","Enhancer accessibility and CTCF occupancy underlie asymmetric TAD architecture and cell type specific genome topology","no",[]
"10.1073/pnas.1321957111","CTCF and cohesin cooperate to organize the 3D structure of the mammalian genome","no",[]
"10.1002/aja.1000610102","Cytological changes in the rat thyroid following exposure to heat and cold, and their relationship to the physiology of secretion","no",[]
"10.1038/srep17367","Functional analysis of the 11q23.3 glioma susceptibility locus implicates <i>PHLDB1</i> and <i>DDX6</i> in glioma susceptibility","no",[]
"10.1530/REP-22-0277","A refined culture system of oocytes from early antral follicles promotes oocyte maturation and embryo development in cattle","no",[]
"10.1046/j.1365-2818.1998.00405.x","Registration of serial sections of mouse liver cell nuclei","no",[]
"10.1186/s12964-020-0530-4","Tumor microenvironment complexity and therapeutic implications at a glance","no",[]
"10.1093/gbe/evw050","Three Dimensional Organization of Genome Might Have Guided the Dynamics of Gene Order Evolution in Eukaryotes","no",[]
"10.1186/s12862-016-0864-0","Genomic landscape of CpG rich elements in human","no",[]
"10.1038/s41467-020-14651-z","In situ dissection of domain boundaries affect genome topology and gene transcription in <i>Drosophila</i>","no",[]
"10.1016/j.devcel.2021.10.004","A bipartite element with allele-specific functions safeguards DNA methylation imprints at the<i> Dlk1-Dio3</i> locus","no",[]
"10.1016/j.molcel.2019.12.015","R-Loop Mediated <i>trans</i> Action of the <i>APOLO</i> Long Noncoding RNA","no",[]
"10.1091/mbc.E14-06-1127","Correlations of three-dimensional motion of chromosomal loci in yeast revealed by the double-helix point spread function microscope","no",[]
"10.1038/s41598-017-03414-4","Direct evidence for cell adhesion-mediated radioresistance (CAM-RR) on the level of individual integrin β1 clusters","no",[]
"10.1038/ncb1006","Heritable gene silencing in lymphocytes delays chromatid resolution without affecting the timing of DNA replication","no",[]
"10.1016/j.bbamcr.2020.118680","A regulatory circuit between lncRNA and TOR directs amino acid uptake in yeast","no",[]
"10.1139/g95-009","MOLECULAR MARKERS FOR 4 LEAF RUST RESISTANCE GENES INTROGRESSED INTO WHEAT FROM WILD RELATIVES","no",[]
"10.1089/ten.tea.2013.0559","Serum- and Growth-Factor-Free Three-Dimensional Culture System Supports Cartilage Tissue Formation by Promoting Collagen Synthesis via Sox9-<i>Col2a1</i> Interaction","no",[]
"","X-FaCT: Xenopus-Fast Clearing Technique","no",[]
"10.1016/j.bbrc.2016.12.177","DNA loop domain organization in nucleoids from cells of different types","no",[]
"10.1007/s00418-018-1726-1","Blank spots on the map: some current questions on nuclear organization and genome architecture","no",[]
"10.1002/bies.201800201","Nucleotide Excision Repair and Transcription-Associated Genome Instability","no",[]
"10.1016/j.gde.2018.06.002","Cellular trajectories and molecular mechanisms of iPSC reprogramming","no",[]
"10.1186/s13059-019-1893-y","OnTAD: hierarchical domain structure reveals the divergence of activity among TADs and boundaries","no",[]
"10.1073/pnas.1902035116","Regulation of nuclear architecture, mechanics, and nucleocytoplasmic shuttling of epigenetic factors by cell geometric constraints","no",[]
"10.1186/s13059-015-0767-1","HiCPlotter integrates genomic data with interaction matrices","no",[]
"10.1002/adfm.201707378","Engineering of Mature Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes Using Substrates with Multiscale Topography","no",[]
"10.1016/j.ymeth.2012.05.001","Hi-C: A comprehensive technique to capture the conformation of genomes","no",[]
"10.1093/nar/gkac107","Role of the cellular factor CTCF in the regulation of bovine leukemia virus latency and three-dimensional chromatin organization","no",[]
"10.1007/s00018-024-05206-2","Epigenomic insights into common human disease pathology","no",[]
"10.3390/cancers11121973","Core Binding Factor Leukemia: Chromatin Remodeling Moves Towards Oncogenic Transcription","no",[]
"10.1016/j.stem.2016.04.004","Local Genome Topology Can Exhibit an Incompletely Rewired 3D-Folding State during Somatic Cell Reprogramming","no",[]
"10.3389/fgene.2021.788318","Deciphering the Role of 3D Genome Organization in Breast Cancer Susceptibility","no",[]
"10.1016/j.pbi.2021.102031","Three-dimensional genome organization in epigenetic regulations: cause or consequence?","no",[]
"10.1016/j.ceb.2020.04.011","Loop extrusion: theory meets single-molecule experiments","no",[]
"10.1002/jcp.25062","C-ing the Genome: A Compendium of Chromosome Conformation Capture Methods to Study Higher-Order Chromatin Organization","no",[]
"10.15252/embr.201948068","Differential contribution of steady-state RNA and active transcription in chromatin organization","no",[]
"10.1016/j.celrep.2023.112029","Polymorphic inverted repeats near coding genes impact chromatin topology and phenotypic traits in<i> Arabidopsis</i><i> thaliana</i>","no",[]
"10.4161/nucl.28488","Visualization of specific DNA sequences in living mouse embryonic stem cells with a programmable fluorescent CRISPR/Cas system","no",[]
"10.1002/jcb.21823","The nuclear localization of WAP and CSN genes is modified by lactogenic hormones in HC11 cells","no",[]
"10.1186/s13059-015-0745-7","Analysis methods for studying the 3D architecture of the genome","no",[]
"10.1038/s41556-019-0341-2","Epigenetic modulation of a hardwired 3D chromatin landscape in two naive states of pluripotency (vol 21, pg 568, 2019)","no",[]
"10.1080/21541264.2023.2222032","Emerging insights into enhancer biology and function","no",[]
"10.1093/bioinformatics/btz362","Selfish: discovery of differential chromatin interactions via a self-similarity measure","no",[]
"10.1038/srep09258","Single cell visualization of transcription kinetics variance of highly mobile identical genes using 3D nanoimaging","no",[]
"10.1073/pnas.2400737121","An atlas of the tomato epigenome reveals that KRYPTONITE shapes TAD- like boundaries through the control of H3K9ac distribution","no",[]
"10.1101/gr.238527.118","Rapid reversible changes in compartments and local chromatin organization revealed by hyperosmotic shock","no",[]
"10.1101/gad.348934.121","Sequential in <i>cis</i> mutagenesis in vivo reveals various functions for CTCF sites at the mouse <i>HoxD</i> cluster","no",[]
"10.1182/blood.2023023237","Integrative single-cell chromatin and transcriptome analysis of human plasma cell differentiation","no",[]
"","The fractal dimension of nuclear chromatin as a prognostic factor in acute precursor B lymphoblastic leukemia","no",[]
"10.1128/mSphere.00815-20","mSphere of Influence: the Dynamic Nature of the Nuclear Envelope during Mitosis of Malaria Parasites","no",[]
"10.1038/s41467-022-29696-5","Analysis of sub-kilobase chromatin topology reveals nano-scale regulatory interactions with variable dependence on cohesin and CTCF","no",[]
"10.1016/j.stemcr.2022.11.003","Dynamic chromatin organization and regulatory interactions in human endothelial cell differentiation","no",[]
"10.1186/s13059-018-1484-3","CTCF maintains regulatory homeostasis of cancer pathways","no",[]
"10.3389/fgene.2024.1442539","Multi-omic analysis of longitudinal acute myeloid leukemia patient samples reveals potential prognostic markers linked to disease progression","no",[]
"10.1038/s41594-023-01181-7","The potential of epigenetic therapy to target the 3D epigenome in endocrine-resistant breast cancer","no",[]
"10.1038/s41588-021-00784-4","Liquid chromatin Hi-C characterizes compartment-dependent chromatin interaction dynamics","no",[]
"10.3389/fgene.2021.732033","Loop Interrupted: Dysfunctional Chromatin Relations in Neurological Diseases","no",[]
"10.1038/s41592-023-01903-1","Multiplex-GAM: genome-wide identification of chromatin contacts yields insights overlooked by Hi-C","no",[]
"10.1186/s13395-022-00303-x","Prolonged FOS activity disrupts a global myogenic transcriptional program by altering 3D chromatin architecture in primary muscle progenitor cells","no",[]
"10.1016/j.tig.2011.06.008","Polycomb group proteins: repression in 3D","no",[]
"10.1038/s41598-020-80165-9","Multi-level remodelling of chromatin underlying activation of human T cells","no",[]
"10.1101/gr.215160.116","YY1 and CTCF orchestrate a 3D chromatin looping switch during early neural lineage commitment","no",[]
"10.1038/nrm.2017.88","GENOME ORGANIZATION A vision of 3D chromatin organization","no",[]
"10.1016/j.semcdb.2018.07.015","Unraveling the 3D genome of human malaria parasites","no",[]
"10.1016/j.stemcr.2019.04.004","Enhancer Chromatin and 3D Genome Architecture Changes from Naive to Primed Human Embryonic Stem Cell States","no",[]
"10.1073/pnas.2210480120","Transcription shapes 3D chromatin organization by interacting with loop extrusion","no",[]
"10.1093/nar/gkz1025","ChiTaRS 5.0: the comprehensive database of chimeric transcripts matched with druggable fusions and 3D chromatin maps","no",[]
"10.1038/s41556-019-0310-9","Epigenetic modulation of a hardwired 3D chromatin landscape in two naive states of pluripotency","no",[]
"10.1038/s41398-023-02415-4","Remembering through the genome: the role of chromatin states in brain functions and diseases","no",[]
"10.3390/ijms23116149","Erythroid Cell Research: 3D Chromatin, Transcription Factors and Beyond","no",[]
"10.1093/bfgp/elz028","Order and disorder: abnormal 3D chromatin organization in human disease","no",[]
"10.1016/j.xplc.2021.100267","Roles of Polycomb complexes in regulating gene expression and chromatin structure in plants","no",[]
"10.1080/19491034.2015.1106676","3D genome organization in health and disease: emerging opportunities in cancer translational medicine","no",[]
"10.1146/annurev-biodatasci-102521-012018","Computational Approaches for Understanding Sequence Variation Effects on the 3D Genome Architecture","no",[]
"10.3389/fgene.2021.673530","Profiling of 3D Genome Organization in Nasopharyngeal Cancer Needle Biopsy Patient Samples by a Modified Hi-C Approach","no",[]
"10.1242/dev.148304","The three-dimensional genome: regulating gene expression during pluripotency and development","no",[]
"10.1186/s12864-021-07815-8","TAD cliques predict key features of chromatin organization","no",[]
"10.1038/s41467-024-53892-0","Development and evolution of Drosophila chromatin landscape in a 3D genome context","no",[]
"10.1038/s41467-019-14098-x","Epigenetic reprogramming at estrogen-receptor binding sites alters 3D chromatin landscape in endocrine-resistant breast cancer","no",[]
"10.1016/j.gde.2022.102019","Evolution of 3D chromatin organization at different scales","no",[]
"10.1016/j.gene.2020.145185","Straightforward protocol for allele-specific chromatin conformation capture","no",[]
"10.1186/s13059-023-03158-7","ChIPr: accurate prediction of cohesin-mediated 3D genome organization from 2D chromatin features","no",[]
"10.1158/0008-5472.CAN-20-3613","Insights into the Links between MYC and 3D Chromatin Structure and Epigenetics Regulation: Implications for Cancer Therapy","no",[]
"10.1007/978-3-319-60438-1_2","Multi-levels 3D Chromatin Interactions Prediction Using Epigenomic Profiles","no",[]
"10.1117/12.2007281","Quantification of Relative Chromatin Content in Flow Cytometry Standards using 3D OPTM Imaging Technique","no",[]
"10.2217/epi-2016-0111","Disruption of the 3D cancer genome blueprint","no",[]
"10.1093/nar/gkae484","Loops are geometric catalysts for DNA integration","yes",[]
"10.26508/lsa.202201768","Disruption of polyhomeotic polymerization decreases nucleosome occupancy and alters genome accessibility","yes",[]
"10.1186/s12864-016-3210-4","Chromosome3D: reconstructing three-dimensional chromosomal structures from Hi-C interaction frequency data using distance geometry simulated annealing","yes",[]
"10.1038/s41594-023-01095-4","Live-cell three-dimensional single-molecule tracking reveals modulation of enhancer dynamics by NuRD","yes",[]
"10.1103/PhysRevE.94.042402","Polymer models of the hierarchical folding of the Hox-B chromosomal locus","yes",[]
"10.1016/j.gde.2023.102033","4D epigenomics: deciphering the coupling between genome folding and epigenomic regulation with biophysical modeling","yes",[]
"10.1016/j.ymeth.2012.04.004","Genome structure determination via 3C-based data integration by the Integrative Modeling Platform","yes",[]
"10.1007/s10577-010-9167-2","Structure determination of genomic domains by satisfaction of spatial restraints","yes",[]
"10.1371/journal.pcbi.1006002","ChromoTrace: Computational reconstruction of 3D chromosome configurations for super-resolution microscopy","yes",[]
"10.1038/nsmb.3402","Active and poised promoter states drive folding of the extended <i>HoxB</i> locus in mouse embryonic stem cells","yes",[]
"10.1016/j.ymeth.2018.02.024","Molecular Dynamics simulations of the Strings and Binders Switch model of chromatin","yes",[]
"10.1016/j.jbc.2023.104679","The interplay of 3D genome organization with UV-induced DNA damage and repair","yes",[]
"10.1016/j.ymeth.2019.03.002","Machine learning polymer models of three-dimensional chromatin organization in human lymphoblastoid cells","yes",[]
"10.1002/bies.202200240","The dynamic role of cohesin in maintaining human genome architecture","yes",[]
"10.1186/s13072-024-00528-8","The probability of chromatin to be at the nuclear lamina has no systematic effect on its transcription level in fruit flies","yes",[]
"10.1186/s12864-015-1236-7","Identifying multi-locus chromatin contacts in human cells using tethered multiple 3C","yes",[]
"10.1038/s41467-021-26033-0","Stage-resolved Hi-C analyses reveal meiotic chromosome organizational features influencing homolog alignment","no",[]
"10.3390/pathogens9020132","Identification of a <i>Neisseria gonorrhoeae</i> Histone Deacetylase: Epigenetic Impact on Host Gene Expression","no",[]
"10.1111/cpr.12530","Comparison of different in vitro differentiation conditions for murine female germline stem cells","no",[]
"10.1186/s13059-016-0896-1","HSA: integrating multi-track Hi-C data for genome-scale reconstruction of 3D chromatin structure","yes",[]
"10.3390/cancers13040713","Epigenetic Alterations in Triple-Negative Breast Cancer-The Critical Role of Extracellular Matrix","no",[]
"10.3389/fgene.2018.00276","Assessing Human Genetic Variations in Glucose Transporter SLC2A10 and Their Role in Altering Structural and Functional Properties","no",[]
"10.3390/ijms22168713","Chromatin Structure and “DNA Sequence View”: The Role of Satellite DNA in Ectopic Pairing of the <i>Drosophila</i> X Polytene Chromosome","no",[]
"10.1002/mog2.51","Novel DNA methylation biomarkers in enhancer regions with chromatin interactions for diagnosis of non-small-cell lung cancer","no",[]
"10.1038/ncomms10812","Constructing 3D interaction maps from 1D epigenomes","no",[]
"10.1038/s43018-024-00823-z","Global loss of promoter-enhancer connectivity and rebalancing of gene expression during early colorectal cancer carcinogenesis","no",[]
"10.1093/nar/gkab1069","Relaxed 3D genome conformation facilitates the pluripotent to totipotent-like state transition in embryonic stem cells","no",[]
"10.1016/j.csbj.2023.02.028","Mini-review: Gene regulatory network benefits from three-dimensional chromatin conformation and structural biology","no",[]
"10.1016/j.celrep.2022.111576","Acute depletion of human core nucleoporin reveals direct roles in transcription control but dispensability for 3D genome organization","no",[]
"10.1073/pnas.2313476120","Antigen exposure reshapes chromatin architecture in central memory CD8+T cells and imprints enhanced recall capacity","no",[]
"10.1007/s00401-020-02225-8","C11orf95-RELA reprograms 3D epigenome in supratentorial ependymoma","no",[]
"10.1093/nar/gky065","Reconstructing spatial organizations of chromosomes through manifold learning","yes",[]
"10.1101/gad.348621.121","Systematic functional characterization of antisense eRNA of protocadherin <i>α</i> composite enhancer","no",[]
"10.3390/cancers16122202","3D Chromatin Alteration by Disrupting β-Catenin/CBP Interaction Is Enriched with Insulin Signaling in Pancreatic Cancer","no",[]
"10.1038/s41467-020-15789-6","Temporal dynamic reorganization of 3D chromatin architecture in hormone-induced breast cancer and endocrine resistance (vol 10, 1522, 2019)","no",[]
"10.1038/s41467-019-09320-9","Temporal dynamic reorganization of 3D chromatin architecture in hormone-induced breast cancer and endocrine resistance","no",[]
"10.3389/fmed.2022.924087","Androgen receptor signaling and spatial chromatin organization in castration-resistant prostate cancer","no",[]
"10.1093/nsr/nwad073","Dynamics of synthetic yeast chromosome evolution shaped by hierarchical chromatin organization","no",[]
"10.1186/s13072-023-00502-w","Etiology of super-enhancer reprogramming and activation in cancer","no",[]
"10.1186/s12859-020-03798-7","MethHaplo: combining allele-specific DNA methylation and SNPs for haplotype region identification","no",[]
"10.1093/nar/gkac893","ChromLoops: a comprehensive database for specific protein-mediated chromatin loops in diverse organisms","no",[]
"10.1016/j.devcel.2023.03.020","Dynamic changes in P300 enhancers and enhancer-promoter contacts control mouse cardiomyocyte maturation","no",[]
"10.1111/pbi.13875","Centromeres: From chromosome biology to biotechnology applications and synthetic genomes in plants","no",[]
"10.1073/pnas.1901423116","Robust single-cell Hi-C clustering by convolution- and random-walk-based imputation","no",[]
"10.1038/s41588-022-01065-4","Sequence-based modeling of three-dimensional genome architecture from kilobase to chromosome scale","no",[]
"10.1038/s41467-024-50529-0","Evolutionary patterns and functional effects of 3D chromatin structures in butterflies with extensive genome rearrangements","no",[]
"10.3389/fcell.2022.957292","Understanding the function of regulatory DNA interactions in the interpretation of non-coding GWAS variants","no",[]
"10.1038/s41467-023-36899-x","High-throughput Pore-C reveals the single-allele topology and cell type-specificity of 3D genome folding","no",[]
"10.1111/cpr.13482","3D genome perspective on cell fate determination, organ regeneration, and diseases","no",[]
"10.1038/s41422-021-00592-9","Generation and characterization of stable pig pregastrulation epiblast stem cell lines","yes",[]
"10.1016/j.jbc.2021.101559","Unraveling three-dimensional chromatin structural dynamics during spermatogonial differentiation","no",[]
"10.1186/s13059-022-02774-z","Normalization and de-noising of single-cell Hi-C data with BandNorm and scVI-3D","no",[]
"10.1016/j.tig.2022.07.004","Ionizing radiation damage and repair from 3D-genomic perspective","no",[]
"10.1093/bioinformatics/btad314","CscoreTool-M infers 3D sub-compartment probabilities within cell population","no",[]
"10.1016/j.molcel.2018.05.017","Lamins Organize the Global Three-Dimensional Genome from the Nuclear Periphery","no",[]
"10.1016/j.isci.2024.109570","Predicting A/B compartments from histone modifications using deep learning","no",[]
"10.1038/s41586-019-0949-1","Multiplex chromatin interactions with single-molecule precision","no",[]
"10.1038/s41467-022-32911-y","Regulation associated modules reflect 3D genome modularity associated with chromatin activity","no",[]
"10.1093/bib/bbad379","Subgraph extraction and graph representation learning for single cell Hi-C imputation and clustering","no",[]
"10.1016/j.isci.2023.107137","Glucocorticoid receptor-mediated <i>Nr1d1</i> chromatin circadian misalignment in stress-induced irritable bowel syndrome","no",[]
